[Mon Oct 21 10:05:51.089096 2019] [core:warn] [pid 1] AH00045: child process 22 still did not exit, sending a SIGTERM
[Mon Oct 21 10:05:51.089125 2019] [core:warn] [pid 1] AH00045: child process 23 still did not exit, sending a SIGTERM
[Mon Oct 21 10:05:51.089137 2019] [core:warn] [pid 1] AH00045: child process 24 still did not exit, sending a SIGTERM
[Mon Oct 21 10:05:51.089149 2019] [core:warn] [pid 1] AH00045: child process 25 still did not exit, sending a SIGTERM
[Mon Oct 21 10:05:51.089160 2019] [core:warn] [pid 1] AH00045: child process 26 still did not exit, sending a SIGTERM
[Mon Oct 21 10:05:51.089172 2019] [core:warn] [pid 1] AH00045: child process 27 still did not exit, sending a SIGTERM
[Mon Oct 21 10:05:51.089184 2019] [core:warn] [pid 1] AH00045: child process 38 still did not exit, sending a SIGTERM
[Mon Oct 21 10:05:52.112845 2019] [mpm_prefork:notice] [pid 1] AH00169: caught SIGTERM, shutting down
[Tue Oct 22 01:43:48.212540 2019] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.25 (Debian) PHP/7.2.10 OpenSSL/1.0.2l configured -- resuming normal operations
[Tue Oct 22 01:43:48.220134 2019] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Tue Oct 22 07:21:58.055304 2019] [mpm_prefork:notice] [pid 1] AH00169: caught SIGTERM, shutting down
[Tue Oct 22 07:28:58.031241 2019] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.25 (Debian) PHP/7.2.10 OpenSSL/1.0.2l configured -- resuming normal operations
[Tue Oct 22 07:28:58.048803 2019] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Tue Oct 22 08:50:06.783573 2019] [mpm_prefork:notice] [pid 1] AH00169: caught SIGTERM, shutting down
[Tue Oct 22 08:54:53.279477 2019] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.25 (Debian) PHP/7.2.10 OpenSSL/1.0.2l configured -- resuming normal operations
[Tue Oct 22 08:54:53.299871 2019] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Tue Oct 22 10:05:15.187852 2019] [mpm_prefork:notice] [pid 1] AH00169: caught SIGTERM, shutting down
[Wed Oct 23 01:00:54.881654 2019] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.25 (Debian) PHP/7.2.10 OpenSSL/1.0.2l configured -- resuming normal operations
